timestamp,rms_g,curtose,fator_crista,alerta
12:24:16,0.15416,11.9396,7.5219,1
12:24:18,0.14531,52.5860,10.9583,1
12:24:19,0.12711,18.2391,8.2578,1
12:24:21,0.12954,20.0767,9.4134,1
12:24:23,0.12823,18.7998,9.4367,1
12:24:25,0.12731,20.1905,9.1039,1
12:24:27,0.12571,19.4847,8.2949,1
12:24:29,0.12825,20.0678,8.5037,1
12:24:31,0.12844,17.2404,7.8715,1
12:24:33,0.12814,17.5910,8.9007,1
12:24:35,0.13024,18.4652,8.7947,1
12:24:37,0.12502,17.7626,8.6274,1
12:24:39,0.12660,18.1438,8.3232,1
12:24:40,0.12823,15.4745,7.7452,1
12:24:42,0.12737,16.8931,8.1637,1
12:24:44,0.12717,17.7955,8.5169,1
12:24:46,0.12875,18.0620,8.9533,1
12:24:47,0.12819,18.4452,8.9367,1
12:24:49,0.13040,17.9731,8.5602,1
12:24:51,0.13066,16.9077,8.3052,1
12:24:53,0.13213,17.3808,8.5615,1
12:24:55,0.12923,18.7008,9.3011,1
12:24:57,0.12933,15.5831,8.2168,1
12:24:59,0.13142,15.8608,7.5315,1
12:25:00,0.12938,16.1072,8.3802,1
12:25:02,0.12829,18.0759,8.6365,1
12:25:04,0.12782,17.7457,8.6406,1
12:25:06,0.12819,19.4983,8.3652,1
12:25:08,0.12562,17.0361,7.9464,1
12:25:10,0.12479,21.6815,8.1637,1
12:25:12,0.12240,23.1978,9.6846,1
12:25:13,0.12008,20.4875,8.9596,1
12:25:15,0.12287,18.7687,8.6182,1
12:25:17,0.12416,18.8839,8.5404,1
12:25:19,0.12269,21.2272,8.6651,1
12:25:21,0.12362,20.4584,8.6962,1
12:25:23,0.12398,19.8942,9.1725,1
12:25:25,0.12503,18.5676,9.0674,1
12:25:26,0.12710,21.1392,9.4812,1
12:25:28,0.12568,21.6910,9.3210,1
12:25:30,0.12339,20.8659,8.8606,1
12:25:32,0.12312,20.3907,9.0093,1
12:25:34,0.12295,19.5064,9.2592,1
12:25:36,0.12298,21.5564,9.5331,1
12:25:38,0.12388,23.1572,8.5373,1
12:25:40,0.12610,21.2008,9.3001,1
12:25:42,0.12149,18.4125,9.0063,1
12:25:43,0.12497,18.1843,8.8832,1
12:25:45,0.12642,18.7137,8.4136,1
12:25:47,0.12641,20.1259,8.8455,1
12:25:49,0.12461,20.0511,8.9816,1
12:25:51,0.12648,21.1502,9.2315,1
12:25:52,0.12767,21.2283,8.8397,1
12:25:54,0.12436,18.9307,8.2463,1
12:25:56,0.12292,21.4641,8.5631,1
12:25:58,0.12012,22.0249,9.1658,1
12:26:00,0.12571,20.5279,9.1257,1
12:26:02,0.12399,18.8261,8.7013,1
12:26:03,0.12328,20.3379,8.2164,1
12:26:05,0.12287,20.0572,8.8505,1
12:26:07,0.12422,18.4916,8.4580,1
12:26:09,0.12381,20.5665,8.5542,1
12:26:11,0.12440,21.9467,9.5968,1
12:26:13,0.12259,21.2872,8.7686,1
12:26:15,0.12276,20.2146,9.0801,1
12:26:17,0.12631,20.7469,9.0549,1
12:26:19,0.12602,20.6380,9.2489,1
12:26:20,0.12346,20.1845,9.2378,1
12:26:22,0.12359,20.8661,8.7454,1
12:26:24,0.12800,19.9563,8.5242,1
12:26:26,0.12408,20.4343,8.8196,1
12:26:28,0.12392,20.6352,8.7052,1
12:26:29,0.12378,19.5463,8.4360,1
12:26:31,0.12480,20.6956,8.5902,1
12:26:33,0.12406,19.0927,8.2232,1
12:26:35,0.12732,19.1537,7.7257,1
12:26:37,0.12877,18.6275,8.4997,1
12:26:39,0.12668,16.4173,8.4674,1
12:26:41,0.12588,22.1883,9.2149,1
12:26:42,0.12484,20.2182,9.2124,1
12:26:44,0.12527,20.5118,8.9081,1
12:26:46,0.12453,20.8754,8.8943,1
12:26:48,0.12675,22.8743,9.0935,1
12:26:50,0.12472,20.7292,9.1007,1
12:26:52,0.12577,18.5710,8.2192,1
12:26:53,0.12781,18.8395,8.7838,1
12:26:55,0.12549,16.8652,8.2622,1
12:26:57,0.12789,16.8247,8.3679,1
12:26:59,0.12581,19.3528,8.1420,1
12:27:01,0.12338,21.7687,9.1333,1
12:27:03,0.12483,20.2139,7.9087,1
12:27:05,0.12563,19.8720,8.3276,1
12:27:07,0.12493,20.0904,8.8125,1
12:27:08,0.12372,18.4468,8.6640,1
12:27:10,0.12676,19.7432,9.1565,1
12:27:12,0.12716,18.0419,8.8778,1
12:27:14,0.12410,17.4863,7.8652,1
12:27:16,0.12771,21.2125,9.5393,1
12:27:18,0.12691,20.3796,8.1854,1
12:27:19,0.12867,19.9520,8.8915,1
12:27:21,0.12603,18.6135,8.7243,1
12:27:23,0.12416,21.0675,9.2410,1
12:27:25,0.12172,19.2035,8.5944,1
12:27:27,0.12257,22.6173,9.4635,1
12:27:29,0.12431,22.0065,8.9983,1
12:27:30,0.12569,19.1532,8.5401,1
12:27:32,0.12629,19.6502,8.0271,1
12:27:34,0.12569,19.8194,8.6821,1
12:27:36,0.12515,18.4684,8.3977,1
12:27:37,0.12647,20.0194,8.3568,1
12:27:39,0.12600,17.5496,7.8787,1
12:27:41,0.12623,16.3485,7.8911,1
12:27:43,0.12650,19.4070,9.0164,1
12:27:45,0.12827,18.3330,8.9122,1
12:27:47,0.12844,18.3630,7.8884,1
12:27:48,0.12835,16.9016,8.2693,1
12:27:50,0.12757,19.2313,8.9997,1
12:27:52,0.12583,22.7908,9.5367,1
12:27:54,0.12641,19.5730,8.1423,1
12:27:56,0.12715,20.8077,7.9576,1
12:27:58,0.13054,18.1537,8.8538,1
12:28:00,0.12472,19.4190,8.9372,1
12:28:02,0.12976,21.3552,8.8485,1
12:28:04,0.12816,15.8380,8.2209,1
12:28:05,0.12789,18.8117,8.5809,1
12:28:07,0.12858,18.7716,8.8185,1
12:28:09,0.12716,16.1908,7.6996,1
12:28:11,0.12848,20.2655,9.1728,1
12:28:13,0.12675,20.1555,9.0208,1
12:28:15,0.12942,19.8705,8.6324,1
12:28:16,0.12704,16.4639,7.4385,1
12:28:18,0.12821,20.8953,9.0629,1
12:28:20,0.12696,18.7167,8.4273,1
12:28:22,0.12824,17.9565,8.3696,1
12:28:24,0.12934,18.4508,8.8288,1
12:28:26,0.12657,18.7588,9.0999,1
12:28:28,0.12754,17.1232,8.1569,1
12:28:30,0.12776,20.6718,9.7646,1
12:28:32,0.12983,16.5465,8.1634,1
12:28:34,0.12633,21.0968,9.4359,1
12:28:35,0.12372,18.7426,8.9035,1
12:28:37,0.12513,21.9264,9.4480,1
12:28:39,0.12605,18.9341,8.9946,1
12:28:41,0.12630,17.8699,7.9105,1
12:28:43,0.12896,19.3722,8.7420,1
12:28:45,0.12622,17.6673,8.3356,1
12:28:46,0.12672,18.7399,8.8587,1
12:28:49,0.12674,18.7947,8.8513,1
12:28:50,0.12616,19.3298,8.7828,1
12:28:52,0.12746,18.9957,9.1424,1
12:28:54,0.12891,18.3640,8.3389,1
12:28:56,0.12805,17.9906,8.2692,1
12:28:58,0.12991,17.4589,7.6801,1
12:29:00,0.12788,16.2392,7.8789,1
12:29:02,0.12881,16.8824,8.2544,1
12:29:03,0.12794,19.0418,8.9025,1
12:29:05,0.12795,17.7759,7.8384,1
12:30:09,0.12384,16.7091,8.1289,1
12:30:09,0.12852,16.8633,8.4173,1
12:30:09,0.12937,14.8778,7.6050,1
12:30:09,0.13055,17.8892,8.0555,1
12:30:09,0.13016,18.0047,8.9541,1
12:30:11,0.13205,17.9177,8.6076,1
12:30:13,0.13333,15.1317,7.9763,1
12:30:16,0.13503,15.3547,8.1651,1
12:30:20,0.13593,18.1887,9.0280,1
12:30:22,0.13216,18.7445,9.2164,1
12:30:23,0.12950,16.9283,8.2907,1
12:30:25,0.13158,19.6515,8.4858,1
12:30:27,0.12486,20.7657,8.8051,1
12:30:30,0.12732,20.0700,9.2169,1
12:30:32,0.12729,19.0615,8.9910,1
12:30:34,0.12671,17.9730,8.4888,1
12:30:36,0.12770,18.6201,8.7244,1
12:30:38,0.12974,19.4101,8.1766,1
